"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 20:07:14 GMT 2024","Fri Jun 07 20:07:15 GMT 2024","519","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","getProjectWithInvalidIdTest","Get project by invalid ID - alt flow",""
"passed","Fri Jun 07 20:07:46 GMT 2024","Fri Jun 07 20:07:47 GMT 2024","1342","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryValidCaseTitleTest","boundaryValidCaseTitleTest",""
"passed","Fri Jun 07 20:08:03 GMT 2024","Fri Jun 07 20:08:04 GMT 2024","1483","Main Suite","Gui","tests.gui.DeleteTest","tests.gui.DeleteTest","deleteCaseTest","deleteCaseTest",""
"passed","Fri Jun 07 20:07:13 GMT 2024","Fri Jun 07 20:07:14 GMT 2024","867","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","deleteProject","Delete project existent project",""
"passed","Fri Jun 07 20:07:51 GMT 2024","Fri Jun 07 20:07:53 GMT 2024","1850","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryValidCaseTitleTest","boundaryValidCaseTitleTest",""
"passed","Fri Jun 07 20:07:15 GMT 2024","Fri Jun 07 20:07:16 GMT 2024","449","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","getCaseByIdTest","Get case by valid ID",""
"passed","Fri Jun 07 20:07:16 GMT 2024","Fri Jun 07 20:07:16 GMT 2024","439","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","getCaseWithInvalidIdTest","Get case by invalid ID - alt flow",""
"passed","Fri Jun 07 20:07:10 GMT 2024","Fri Jun 07 20:07:13 GMT 2024","3276","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","createProjectTest","Add project",""
"passed","Fri Jun 07 20:07:40 GMT 2024","Fri Jun 07 20:07:41 GMT 2024","1272","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryInvalidCaseTitleTest","boundaryInvalidCaseTitleTest",""
"passed","Fri Jun 07 20:07:35 GMT 2024","Fri Jun 07 20:07:36 GMT 2024","736","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryInvalidCaseTitleTest","boundaryInvalidCaseTitleTest",""
"passed","Fri Jun 07 20:08:09 GMT 2024","Fri Jun 07 20:08:10 GMT 2024","1435","Main Suite","Gui","tests.gui.UploadFileTest","tests.gui.UploadFileTest","uploadImageTest","uploadImageTest",""
"passed","Fri Jun 07 20:07:21 GMT 2024","Fri Jun 07 20:07:23 GMT 2024","1394","Main Suite","Gui","tests.gui.CreatingTestCase","tests.gui.CreatingTestCase","creatingTC","creatingTC",""
"passed","Fri Jun 07 20:07:28 GMT 2024","Fri Jun 07 20:07:30 GMT 2024","1791","Main Suite","Gui","tests.gui.HintNegativeTests","tests.gui.HintNegativeTests","incorrectDataInputCaseTest","incorrectDataInputCaseTest",""
"passed","Fri Jun 07 20:07:15 GMT 2024","Fri Jun 07 20:07:15 GMT 2024","460","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","addCaseTest","Add case to project",""
"passed","Fri Jun 07 20:07:58 GMT 2024","Fri Jun 07 20:07:59 GMT 2024","1223","Main Suite","Gui","tests.gui.DeleteTest","tests.gui.DeleteTest","deleteCaseModalWindowTest","deleteCaseModalWindowTest",""
